bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
TMEM132C,HNRNPA2B1,P4HA1,TRA2A
ZNF676,EIF1,CHORDC1,APBA2
AMZ1,CTSD,NELL1,IQCJ-SCHIP1
EPSTI1,P2RX7,ATP1A3,LIMD1
CACNG2,HIP1R,PPP2R3B,PFKFB3
CTNNBIP1,BAMBI,NPIPB15,PSD3
CACNG5,AL807742.1,SEMA5A,HSPA12A
ARL17B,PAX8-AS1,LINC00324,DLGAP1
ZDHHC11,SLC6A1,SCG2,LINC00486
RMST,ABCC8,ANKS1B,AC009041.2
RFX3-AS1,AC025159.1,SCG3,DGKG
PLSCR1,TTR,PCDH15,TAF15
IFIT1,PTMA,SLC5A3,CSMD2
AKAP12,TMEM100,PNLDC1,HAP1
ADAM12,NEU4,SOX6,BMERB1
AC034195.1,MT3,UCHL1,ENSA
SYN3,AC099792.1,KLHL1,EHBP1
CHST9,C16orf95,SPARCL1,SREBF2
AC021231.1,ENO1,GNAS,PKP4
RSRP1,GPR162,DGKB,LDB2
PARP12,LINC01748,CA10,PITPNC1
UBA7,AC009975.1,MEG3,KLHL1
HIF3A,FAM107A,NUDC,MAP4K4
XYLT1,SF1,RMRP,PER2
GPI,KCNF1,STMN4,CHD9
EVA1C,RASD1,STIP1,CERS4
TMTC4,AC103810.2,NRXN1,ELL2
PROM1,HAPLN2,ATP6V0C,SORCS1
CAMK1D,VAMP2,ARHGAP42,ILDR2
AC019068.1,ROBO2,MARCKS,CDH11
COL4A1,SRSF7,ATP10B,DSCAML1
F12,CBWD5,KIF13A,KLRC2
TSIX,LINC01182,CREB5,SYNDIG1
GSG1L,CCT6A,PNISR,OGA
AC244131.2,LIMD1,TOX,SEM1
BAALC-AS2,LINC00599,MALRD1,NSG2
MIR137HG,DDIT4,DBI,TTTY10
AC026495.2,AC007686.4,PTPRD,AL357153.2
IGFBP2,TMBIM6,NR2F2,NRG3
AKR1C2,HTRA1,AL158011.1,ASTN2
KCNG4,MT1E,TUBA1B,PRICKLE1
PNN,CNPY2,NBPF26,ZNF365
ACACB,LINC01117,MT3,NR2F2-AS1
ARHGAP31,SIX3,NUTM2B-AS1,LUC7L3
LPL,PTS,DNAJA1,PCLO
PIPOX,ATP1B2,ADGRB3,SEPTIN2
ARID5A,TACC2,C1QL2,PNISR
FKBP9,PGRMC1,SOX5,EPB41L4B
GALNT17,IGSF9B,SNAP23,DAB2IP
NNMT,GPI,C11orf52,IFIT1
AF165147.1,CSPG4,DNAJB6,FAM193B
ZBTB16,CORO7,ACAP3,XYLT1
USP18,PLEKHG4B,DPP10,AKAP6
ZFP36,PRMT1,AC062021.1,BPTF
LINC00342,SOX10,AC010889.2,IL6R
ZIC1,ASCL1,CHL1,PPP6R2
MIR4300HG,HNRNPK,VAV3,ZNF638
IFITM3,FTH1,SELENOP,COBL
SULT1A1,SLC38A2,NCKAP5,PARP14
MAML3,LINC01060,CD81,NFASC
ARHGEF3,PHLDA3,MAP2,C5orf64
ITPK1,H3F3A,FBXL14,COL9A3
OSMR,SRSF10,DLG2,KIAA1211L
ABLIM1,FAM215B,C4orf48,PAK1
AL163541.1,PHLDB1,CALM3,IFI6
SCART1,PDK4,LMBRD1,MSI2
XAF1,TSPYL2,SCN9A,DPF3
AZIN1-AS1,PIR,GNG3,NTRK3
ADAR,SAMHD1,ANO4,ACTN2
CDK19,AC008014.1,ST13,ANO3
HCP5,METRN,SOD1,DPP6
OBSL1,GPR37L1,LINC02296,TCF25
CD9,WBP2,AC006994.2,WARS
LETMD1,AC025263.1,PTGES3,SNRNP70
KLF9,MAN2A2,AL445250.1,AC098829.1
AC068587.4,FBRSL1,HSPA4,PREX2
C1QTNF4,MTERF4,AC246817.1,STAT1
VWCE,EHD3,TUBB2A,MEF2C-AS1
MTCH2,RPL10,LINC00877,RCAN2
MT-CO1,MAPT-AS1,HLA-A,SNHG14
CDKN2B-AS1,SPPL2B,AC117464.1,DLGAP4
RHBDL3,ATP5MC2,SLC7A11,BRINP2
TMEM72-AS1,ANO8,SRP14,TMEM163
IPCEF1,APOD,CRLF1,XRRA1
CCDC122,ARGLU1,LRRN1,AC005906.2
STX18-AS1,FZD9,YWHAB,RCAN1
RNF213,EID1,TAOK3,ZMIZ1
AC018730.1,TAF7,DRC7,CUEDC1
IGSF3,MAT2A,PDXDC1,MSRA
TBL1X,ABCA2,GRM5-AS1,RTN4
APCDD1L-DT,SAT1,COX4I1,C1orf61
FAM66A,DNM1L,FXR1,MIRLET7BHG
C2orf72,TUBB2B,CCDC50,TEAD1
AHI1,DTX3,DHRSX,GABPB1-AS1
DTX3L,FAM89A,QKI,THSD7A
APOL6,EVA1C,PPP1R12A,PHACTR1
LUC7L2,MYRFL,FOSB,NEK6
PTPRN2,CYP39A1,RAPGEF2,VWC2
GADD45B,CLSTN1,SESN3,ANKRD18A
ARSG,DDX24,MPHOSPH8,SLC24A3
RAB20,BCL6,BCAS1,CLIC4
AC092881.2,KIAA0040,EEF1A1,UTP23
GADD45A,EPN2-AS1,FAM242A,DDX17
ENOSF1,RPS28,DIRAS2,TMEM132D
SPG7,LINC02256,MRPS6,DOK5
GNG7,FMNL3,ABHD3,SIPA1L3
ZMIZ1-AS1,PEBP1,CLASP2,ARHGEF3
LEKR1,FTL,ETV1,ZNF586
CYREN,LFNG,FOXN3,FNDC3B
WNK2,HEPACAM,PEBP1,AL512308.1
LINC01252,CST3,LRP1,JAZF1
CKMT2-AS1,ADGRG1,SPRY2,KIF5C
DSCAS,SCRG1,CALCRL,SRGAP2
SEC14L2,NARF,AL157371.2,ANKS1B
EIF2AK2,CFL1,TSHZ2,AFAP1
BHLHE40,INTS10,TXNIP,HIVEP3
FAM85B,GPD1L,PTPRM,COL27A1
C3orf20,DLL1,ADAMTS6,GTF2IRD1
AL109615.3,AC092821.3,PCSK1N,CSNK1A1
TTC16,FAM181B,CDH10,GPC6
SLIT1,FADS3,GAPDH,KALRN
SAMD4A,AMPD2,KCNMB2,SORBS2
PRKCZ,MT-CO2,HRK,CLEC16A
C19orf18,SHISA4,KCNH5,MED13L
PSMB9,OLIG1,TIMP1,MYT1
LINC00334,BMP8A,RFTN2,LYST
AC083870.1,RHOU,ENO2,APOL2
DCAF4L2,B3GAT1,CSRNP3,POGZ
ADHFE1,CFTR,NAV1,MAMLD1
AC078883.1,SHISA9,AL355075.4,HIP1
AIRE,FAM157C,SRGAP1,ZSWIM6
SNX22,MAP1A,ADRA1A,PWWP2A
LINC00893,PCBP1,KITLG,AC079062.1
GP1BB,LRP4-AS1,AC010624.5,AUTS2
PDPR,LINGO1,LINC01322,RABEP1
BDH1,GPR17,PARD6G-AS1,PRKCE
LINC01515,MXD4,NCDN,PTPRN2
RGN,LCNL1,RALYL,KCNH1
LINC02301,ACTB,CADM2,FAM184B
BCR,SRI,BAZ2B,EPN2
SLC2A1-AS1,ZNF483,CKB,ABCA1
LFNG,RCBTB1,VCAN,BASP1-AS1
AC092111.2,AL359091.1,HIBCH,RXRA
AC025159.1,CCT5,ZFP36L1,GLDC
PUDP,AC023282.1,AHSA1,SYTL2
PARP10,KNOP1,COLGALT2,MAP1B
PFKP,PTTG1IP,PTMS,AC007563.2
RPL13,STMN1,PKP2,MARK3
BTN3A1,PEPD,KCNQ2,FAM20C
CDKN2A,GNG7,MYOM1,SPATA13
AC108519.1,ARL17B,GRID2,CLSTN2
FOS,KCNJ10,EPN2,PLXNA4
PALM2-AKAP2,KCNIP3,CAMK4,BTBD11
EFNA1,RPS2,GPR37L1,REV3L
AL031710.2,SRSF2,SERPINI1,ST6GAL2
HLA-B,RPSA,GLCCI1,CACNG4
HK1,SNAP25,SPC25,SMG6
USP54,CTSF,CCT4,PBX1
ISG20,TENT5A,MYO5A,APBB2
AC040168.1,EMC10,CNTN4,PER1
LINC00271,NDUFV1,DIAPH2,KLHL23
OSMR-AS1,SCAND1,PIK3R3,PPM1K-DT
LINC01807,SPDYE2,RAPGEF4,GSG1L
LCNL1,CD59,LINC02324,DGKD
RBM3,TTC23,ITM2C,MAML2
DHX58,KLF13,CANX,SCN8A
SLC8A3,PTOV1,CRELD1,FRMD4A
PYGL,RNF175,COL16A1,SH3D19
DDX58,GPX4,GPM6A,COL4A3
LINC00886,VEGFB,APOE,RETREG1
ZNF713,PXDC1,SASH1,MEGF11
C20orf203,SRRM2,PSAP,SNX10
FKBP5,TNK2,PLXDC2,TUT4
PTP4A3,AC091946.1,NCALD,DCLK2
CLTCL1,GATM,DAB1,VAT1L
SYNPO,MIDN,WFDC1,ANO4
SEC14L5,HES6,VIM,UBASH3B
MMP17,UBALD2,NMRK1,GRIN2A
AC005753.2,NUTM2A-AS1,PDE7B,ACOT11
COL25A1,AJAP1,ANKRD28,CECR2
FAM106C,TTYH2,MARCKSL1,CUX1
TTC23,SNX22,BRINP3,CREBBP
P2RX6,AC079584.1,SCN1A,ARGLU1
NPTX2,BCAR1,RSPO4,SYNE1
LINGO1-AS1,KRT10,CTNND2,LINC02798
GTF2IRD2B,EIF5,TULP2,SETBP1
TIAM1,MKNK2,ATP2C1,LINC01965
LINC01285,CALM3,CNTNAP3B,AC092691.1
LINC01290,SOX4,LHFPL3,TNRC6B
AC090630.1,EEF2,NCAM2,RIMBP2
RNF165,TNS2,HSPA8,LINC02821
TFCP2L1,CLTA,KCND2,ACSL6
SPPL2B,FXYD6,ATP1B1,GRID1
LMO1,ZSCAN31,OTOGL,NCOR2
JAK1,AL355881.1,PEAK1,PLEKHA5
ANKMY1,RPL7A,COL9A1,AC024901.1
HLA-F,APC2,MIF,MYO9B
KDM3A,ATCAY,NFIB,KIZ
AL137024.1,PRKX,NUCB1,TOX2
PEBP4,FERMT1,MIR99AHG,HES5
STK31,FLOT1,CALR,SPTBN4
AL049749.1,ETFDH,FTL,SNTG1
PPP1R16B,PSAT1,FAM13A,CMIP
LDHA,S100B,RABAC1,RHBDL3
NRBP2,JTB,CFL1,AK5
MX1,POMT1,XKR4,DNM1
SDC3,SLC6A8,PLPPR1,PHC3
AL672277.1,ACAN,PTPRZ1,PLPP4
AC011379.2,ASIC4,KLHL32,RBM6
MAPK11,CLIP3,CD151,PI4KA
PWP2,FAIM2,DYNLL1,MAPT
AC023790.2,ATF6B,AC099567.1,DCC
CACNG4,MT-ND1,SNX3,CAMTA1
MIR646HG,THRA,TMBIM6,ARHGEF4
AC084198.2,EIF4A1,PTN,PDE3A
AC079760.1,ZNF276,PHLPP1,FAM168A
PATL2,MPHOSPH8,STK32A,TTLL11
SH3BP2,NCL,PPP1R15A,NAP1L4
SERPINB9P1,ANGPTL1,EEF1A2,CACNA1C
SLC16A6,TSTD1,LINC00685,GRIK4
MIAT,CADM4,TNFAIP6,ACTN4
DDX11,CD46,NECTIN3,PDPN
GINS3,PTMS,GRIA4,ETV6
PRSS55,ASIC1,STIM2,TAF1D
AC025263.1,RPL18,ZFYVE16,PDZRN4
ESRRB,FAM153CP,BACE2,FAM49B
AL050403.2,APEX1,TMC4,C2CD2
DNAH14,PLPPR2,KIZ,APBA1
AC013460.1,RAPGEF5,AC023095.1,RIT2
AKAP8,SET,AKAP6,ARHGEF10
LINC02427,CAPN7,KLF12,STK40
RHOJ,UBA1,PXK,TNS3
AC244502.1,ERH,NPDC1,PIP4K2A
NOXA1,FBXO31,SARAF,PLEKHH2
LINC01341,KLRB1,BX284613.2,SLC25A37
ITGB4,SNAP25-AS1,CPE,PLSCR1
STAT5A,MEGF11,DIXDC1,PPP6R3
CABLES1,NELFCD,JUND,AC139887.2
HDAC4,CALCOCO1,CDH13,BACH2
XK,RPS7,APLP1,COL4A4
RAPGEFL1,MTG1,GRM8,DOCK10
KDM5C,OAZ1,LINC01098,TNK2
RGS6,SMOX,AP002954.1,TIAM1
ACAN,RAD23A,PEG3,CDH22
FREM2,RPL15,ST3GAL6,GPATCH8
NKX6-2,GOLGA8A,DDX17,DNMT3A
GFAP,MLF2,SERINC1,ENAH
MYO15B,OXTR,NAP1L2,SCMH1
ADSSL1,ZFPM2-AS1,OLIG2,ADARB2
ATP10A,BNIP3,NOVA1,DIP2C
PREX1,GDI1,TANC2,FLRT2
SNED1,DEF8,TMEM59L,AGO2
CD81-AS1,RHOB,MAST4,ZNF727
AC006504.5,GAPDH,MDGA2,DENND4A
PLAAT3,HNRNPA1,MBNL2,HECW1
IFFO1,TOMM6,LINC02251,KANK1
MTUS2,ZNF718,CCDC88A,TFCP2
LOXL3,HEY1,PCDH9,SPATA6
AC087175.1,TAZ,METRN,N4BP2L1
COL5A2,KCNQ1OT1,ADCY2,ATP2B2
TMEM259,CHDH,LINC01170,JMJD1C
UNC5D,GRINA,KCNIP4,ADAR
AIM2,LINC00844,ARID5B,CLIP1
GAS7,CSRP1,MEST,PRRX1
TMEM51-AS1,IGFBP5,DST,GRIA1
DPY19L1,YPEL3,ERBB4,PHF21B
MYO16,PNMA1,NTNG1,RUFY3
AL050309.1,RHBDF1,CHRM3-AS2,MTRNR2L12
AC007448.5,SRP14,PLA2G12B,RPS6KA3
ID4,HNRNPH1,OSBPL3,RABGEF1
IFI44L,APBB1,COX6A1,ATP9A
AMH,RPL28,DNAH9,MBTPS1
AC138150.1,CCT3,H2AFZ,PDE4B
AC147651.1,LAMTOR4,BSCL2,MFAP3L
MIR9-3HG,CALM2,MRPL18,MIR3681HG
INSC,EIF4H,CD24,DENND5A
AC007364.1,ATP6V0A2,KCNMA1,SEC31A
U2AF1L5,RPL41,HSP90B1,EMID1
PAPSS2,ADGRB1,TXNL4B,IRF1
AP001924.1,BIN1,SETD5,GNB1
CYP2E1,TNFRSF21,BEX1,GPSM2
LINC00870,APCDD1,PLPPR5,NRG2
AL590807.1,ZNF302,MRPS5,ELF2
SLC24A2,ARF1,TNK2,IFI44
STS,PGAM1,TLE4,ATXN2
ZDHHC14,PNMA2,CPA4,SPRED1
RAB11FIP3,ME2,JUN,SHANK2
SUN3,NAP1L3,GRIA3,UNC13A
KIF26B,ATP6AP1,ALS2CL,CRY2
CLSTN2,IPCEF1,APP,CXCL12
MATN1,SEPTIN8,SAMD5,LINC00461
IFI35,COG2,CSMD3,TMEM132B
UPF3A,P4HA2,YIF1A,SETD2
FAM157C,EGFR,COL6A1,TPST1
SNX30,MAP1LC3B,HNMT,HMGCS1
ABCC8,DDX3X,LUC7L3,USP6
KIAA0040,BCR,NLGN1,EMP1
CDCP1,B3GNT7,HYDIN,ASIC2
WNK4,KHK,OFD1,ATXN1
ADD3-AS1,SECISBP2,AC004158.1,CTIF
LINC01184,SRSF8,SEL1L3,TRAF3IP2-AS1
B2M,NUP42,CASK,VPS53
BEAN1,C17orf97,DOCK3,LRRC4C
AC010884.2,ATP6V0B,SCN1A-AS1,CHST3
CABP7,TXNIP,UNC80,CDH18
DUSP9,LINC02762,ZNF704,FAM135B
CMTM4,TMEM259,ITGAV,SIPA1L2
AC092068.2,PKD1,AUXG01000058.1,ELAVL3
MT-ND6,SAPCD2,TCEAL9,AEBP2
TAGLN,RPLP0,LINC02542,PLCE1
GLIPR2,AC011379.2,DNM3,GSAP
PPCDC,TMED4,CDK14,FAM182A
LRRC37A2,PGK1,EYA1,ZNF44
PSG9,ARL6IP4,SERPINE2,ELP2
SOCS3,TLE1,PTPRK,LMO2
CLEC18C,SIRT2,ERBIN,DLG1
AL807742.1,NOP56,NDUFC2,GRIA2
AC073332.1,ATP2B1,Z98742.4,GBP2
PRKG1,CFAP161,ZDHHC21,LDLRAD4
FP326651.1,CASKIN1,C2orf27A,PREX1
LINC01422,LRP1,DAAM1,PHACTR4
RYR2,AFAP1,HIKESHI,MCCC1
AL355974.2,AC239809.3,DNAJB2,HIPK2
PACSIN2,MT-ND5,DTNA,ARL4C
SAMHD1,H1FX,PPP2R2B,TMEM229B
AL845331.2,B4GALNT4,DPH6-DT,KCNB1
BX005019.1,MTRF1L,TYW3,NRXN2
AL158077.2,RPN1,TMSB4Y,XAF1
GLIDR,LDHB,KLRC2,SPAG9
CPT1A,AC012404.1,OAZ1,ECHDC2
AC124798.3,BEX3,GAL3ST4,NIPSNAP2
AC063919.1,CBLN2,SRRM2,NCOR1
CDCA7L,GNB2,H3F3A,NLRC5
AFF3,DNAJC10,KCNJ6,ITGA3
RFLNA,ITGB4,EDNRB-AS1,SYP
TNFRSF11B,PPM1B,DDR1,GGT7
AC124066.1,SURF4,ATP2C2,EIF2AK2
PLCXD3,RNF157,ADGRG3,RNF24
MAG,B3GAT3,AC124068.2,LRRFIP1
ZDHHC11B,C1orf35,BTBD8,MTSS1
ZNF160,PIM3,PWWP3A,SPATS2L
BNIP3,KAT2B,KHDRBS3,AL354740.1
AL591501.1,TPCN2,SLC22A17,LSM14A
SHANK2,PRPF4B,LRRC4C,ATCAY
CMPK2,COL6A2,DUSP10,CDH4
RAP1GAP2,AC087369.2,MIR100HG,MYO15B
GAD1,MMP17,AC021739.2,DTNB
MLYCD,PCDHB4,PRRX1,KDM2A
LINC02063,HDAC4,XPO1,ARNT2
AC023282.1,MAP6D1,KANSL1L,TMEM14B
SEZ6L,RER1,F10,L3MBTL1
AC017002.6,ZFP36L2,ASMTL,BATF2
AP001972.3,HMGXB3,C22orf34,PALLD
INPPL1,SPSB3,NDUFA4,ASAP3
CALN1,TIAL1,SOX2,KMT2E
GTF2IRD2,RPL11,DZIP3,COL5A3
AC005740.5,GADD45A,MCAM,RNF149
ARHGEF7-AS2,TM7SF3,AC147651.1,RORA
LINC02211,JUND,CPM,NFAT5
GNA12,TLE5,CACNA1A,ANKRD11
EFCAB8,LMAN1,OXTR,PARP9
SMIM3,SHANK3,RBM23,DENND2A
KIAA1328,BARD1,ZFAND2A,EDIL3
HELZ2,WDR60,PRDX2,RAB11FIP3
NUAK1,ANXA6,RGS12,PCGF5
TAP1,SKP1,TMIE,MAP3K13
NAT16,CDIPT,ITM2B,TOM1L2
AC106729.1,GRHPR,GRIK1,TPCN2
LINC00092,NIPAL2,HTATIP2,CALM2
ZNF350-AS1,RDH11,HMOX1,GATAD2B
AC127024.2,ORMDL1,SLC2A13,GHR
CLDN11,CAPN5,BCHE,SERINC5
SHISA9,USF2,UTRN,NUP160
LINC01695,WSCD1,TUBB2B,CELF1
AC106793.1,RHD,FOS,SPSB4
SHROOM4,ATP6V0E2,ATP1A2,UBA2
LINC02762,SPOCK2,SON,DLC1
AHR,SCAMP4,TEK,TUB
DANT2,COX5B,PDE4DIP,ADD1
SERINC5,ZNF862,FRY,TRAK1
OPLAH,C11orf96,CNTN6,FMN2
NWD1,LRRC8A,NOS1AP,LSAMP
CLEC18B,INAVA,PON3,N4BP2L2
LIFR-AS1,SOX9-AS1,CHST11,MBP
ABCD1,TRMT10C,SULF2,PRKCB
KCNK4,GABARAPL2,HP1BP3,ME3
ADAMTSL4-AS1,SLC25A27,MARCH1,DPY19L2
UNC93B1,RASSF8-AS1,AC007262.2,PGAP1
AL359921.2,MAF1,ADGRL3,GALNT10
LMO2,SMARCC2,LINC00299,TIAM2
AC010980.1,MRPL34,HIST1H2AC,LEPR
PIGL,PIGS,TUBA1A,PRKCA
CYP26B1,SYT11,SLC1A2,FAM193A
PAQR6,ARID5A,PRDX1,LINC02223
BHLHE40-AS1,FSCN1,MYH7,KDM4B
AL021308.1,ARHGAP15,TBC1D19,SGMS1
HMX1,BANF1,GPM6B,DPP10
AC107032.2,VCAN,FGF12,TRPM3
ACTR3B,PAXBP1,ANKRD36C,HLA-B
NIM1K,DCXR,HOOK2,FMO5
LTB4R,TSPAN15,MYH6,SAFB2
STC2,AC023480.1,MBOAT7,MAP3K5
ANKRD33B,RBM4,LRP1B,SLTM
AL360015.1,KIT,SLC44A1,WIPF1
RETREG1,RAB26,TTYH1,SAFB
C8orf89,HNRNPDL,AL589843.1,GALR1
AC012178.1,DANCR,CLDN1,WDR37
FBXW2,SELENOW,DUSP16,KMT5B
AC015908.2,PAXX,TRAPPC5,CSNK2A1
LINC00836,AC010997.3,TMEM95,FBXO7
LSS,PSD,HNRNPA2B1,RELB
CTHRC1,UBC,PCDH19,CDKL1
DSCAM,SIRPA,HSPA1L,CALD1
PDIA2,ARL6IP5,ANOS1,ANKH
AP001021.1,USP11,SSUH2,C20orf194
RAB40B,COL20A1,SUGT1,RAB6A
PSG8-AS1,INTS12,PIK3CA,UPP2
AL162171.2,MAP7D1,AC069228.1,MIR29B2CHG
MAP3K14-AS1,KDM5C,REV3L,SILC1
AP006545.3,PTDSS2,AC091912.3,NSD2
RNF17,RAP1GAP,NBPF15,RNF144A
AC051619.6,CNDP2,ST8SIA1,SRPK2
TMEM220-AS1,PON2,ELMO1,NINL
PRR7-AS1,CLEC2D,CMYA5,KIF26B
AL391261.2,KAT2A,COL8A1,AAK1
AC244517.1,DDX18,FAM181B,RNF130
PLEKHF1,EIF1B,ITSN2,FAM66D
FP325335.1,AF121898.1,SERF2,ITGA8
CHSY1,FBXW5,DLEU2,BCL2L1
LINC01310,PIANP,LINC01268,OLFM2
SEMA4C,COL6A1,GNAL,HLA-E
VCX,LPL,GABBR1,TTC3
LINC02742,F11R,SSBP2,EVI5L
RPH3A,RNH1,MIB1,HAS2
KCNA1,RIC3,ATRNL1,LARGE1
STAT2,DAZAP2,AL627171.2,HABP4
AC041005.1,ANTKMT,SLITRK2,UBE2E1
AGAP1,RPL3,AC025164.1,FNIP1
C1orf185,VIPR2,AC090578.1,CACHD1
C3orf67-AS1,AP2M1,ELAVL4,RAF1
AL031587.4,FAM120AOS,CACNA1E,NRIP1
EXTL3-AS1,XPC,ENTPD1,MSMO1
SELENOV,PRXL2A,CSMD1,TMEM41B
ARX,PRNP,AL033504.1,LUZP2
DPYSL5,MARCKS,TMEM160,BRAF
ASB18,DLL3,DYNLRB1,TRIO
AC009403.2,ATP6V0C,DOCK10,MYRIP
AL121985.1,SLC25A46,TNFRSF11A,GTF2I
AC096677.1,GNPTG,NR4A1,DNMBP
CLDN4,TRIM28,ANK3,NBPF14
RIMBP2,STON1-GTF2A1L,MACF1,ATP8A2
DHRS3,LUC7L3,AC126696.1,NAMPT
SLC6A6,RPS3,LINC00963,PLEKHA4
IFNLR1,MT-ND2,PLOD3,ABLIM3
RNF217-AS1,NDUFS6,RUNX1T1,CLASP1
SLCO1A2,BBS5,RABGAP1L,FAM66A
AC073389.2,IFFO1,AC021739.4,CERS5
KCNH1,CDK18,SELENOW,ALDH7A1
HTR5A,MAP7,PDE6D,NMNAT2
WFIKKN1,PACS2,LINC02223,ELMOD1
AC004784.1,PSAP,TMPRSS9,PSD2
AL110114.1,PODXL2,AC104304.3,MIR100HG
PBLD,MYRF,PON2,SUSD6
PIEZO1,DAG1,CMTM5,CASTOR3
AC016575.1,PTPN14,DISC1FP1,GBF1
SMARCD2,SLC38A3,TCF4,GRIN2B
ZNF710-AS1,BAD,SDK2,PHLDB1
C5orf56,AZI2,SH2D3C,CACNA2D1
NALT1,HDDC2,SLC24A3,LINC00476
AC104135.1,IL6ST,MMP16,EYA2
AC005899.8,TPP1,LINC00632,DIP2A
AL391425.1,HES1,C1orf61,KCNJ3
ZNF446,CTDSP2,CCDC195,ATP2A2
ASMTL-AS1,RTCA,ABCC3,RPL37A
DBF4B,MBP,ZNF804A,PLXDC2
RBFOX3,DPF1,TPT1,KLRD1
NWD2,EEF1A2,IGFBP7,FBXO42
ANGPTL4,CHADL,GABARAP,NAV1
C20orf202,RPL10A,AGT,RGN
C8orf34,PPP2R1A,CROCC,AUH
JUNB,RPS16,MSRA,ZSCAN18
AC019257.1,KIAA1958,PEG10,HNRNPDL
NPNT,SERF2,MAPK10,GNPTAB
AL136018.1,LINC01193,LGR5,B4GALT5
AL358334.1,CSF1,MAP2K4,BX284613.2
TPCN2,CYHR1,COL11A1,BICD1
GJC3,CAMK2N2,BLM,GPR155
RNF125,GPR146,ZCCHC24,COL16A1
GREB1,SOX21,SLC25A6,FNBP4
VN1R1,SNRNP200,DLGAP1,SHISA6
PFKL,YIPF3,MAGI2,CACNB2
IFT122,TUBA1A,ARHGEF26,ARHGAP35
MTFR2,EIF4G2,FHL5,SCD5
GP6,AP000462.1,AC123912.1,KSR2
FAM241B,RPL18A,AC240274.1,AL445250.1
IZUMO4,SIN3B,SULT1C4,SGSM1
DDHD2,VDAC1,AC244213.1,TSPAN11
COL4A5,MTSS2,CPB2-AS1,BRINP1
KIAA1549L,IL17RB,PDE1C,DST
USP2-AS1,ASB8,SHC3,NFIC
ANKRD11,ZNF503,MXI1,CA10
P2RX2,CYC1,TNRC6B,AXL
